man I mone, N
Maybe medi, N
If work su, P
Scenes gro, P
Yall toile, P
Panic buyi, N
Living TV , P
Two import, N
appleinsid, P
Coronaviru, P
Important , N
Coronaviru, P
Id never , N
Hi everyon, P
Just spent, P
Covid19 co, N
Covid19 wi, P
No toilet , N
My neighbo, N
Amazon sai, P
In light t, P
Please che, P
Be kind pa, P
Tip When c, P
Volunteers, N
Bumble won, P
Currently , N
Egyptian r, P
Dont worry, N
phran310 E, N
httpstcoeJ, P
attacks se, P
To us find, P
How corner, P
Grocery st, N
Hi Im ment, P
OMG IS HE , N
Supermarke, P
Covid19 af, N
Asst Prof , N
In Netherl, N
Keeping pe, P
Amazon del, N
Happy Sund, P
Why help b, P
Ok small g, P
WallStreet, N
To clever , N
How think , P
Call 202 2, N
The panicb, N
Im back on, N
Okey hoard, P
The thing , N
Our shelve, N
Time share, P
If give at, N
President , P
Poll curio, N
AskTarget , P
Consumers , P
First time, N
13200 work, N
The poorer, N
So GOP COV, N
Safe Haven, N
Know anyon, N
Everyone n, P
Why washin, N
CoronaViru, P
We partner, P
I chatted , P
Seeing gro, N
PSA JUST B, N
Is coronav, P
Shortage a, N
Empty supe, P
Airbnb hos, N
People not, N
Nobody foo, N
SubtweetSh, N
Relief com, P
While your, N
Total Heal, P
Be vigilan, P
Somebody p, P
Why old pe, P
Went groce, N
Some calmi, P
Britain fo, N
I high ris, N
Any Austin, P
Thank God , N
This weird, N
State subu, P
Photos loc, P
coronaviru, N
Oil vs cor, N
I Beijing , N
Were conce, P
At nearby , N
Went groce, N
Bought go , P
Retail Cou, N
Food banks, N
125 Part 1, P
KyleBrandt, N
Im worrie, P
A friend w, P
WCCO Whats, N
Stop misus, N
Meijer sto, P
Stock bott, P
Breaking C, N
Dunno e he, N
coronaviru, P
Good eveni, P
Wales move, N
I went gro, P
DAY 2 Wynn, P
The Only r, P
The overre, N
LVMH annou, P
BREAKING O, N
ICYMI In m, N
The corona, P
The govern, N
For thinki, P
COVID19 Ma, P
The biopol, N
Quarantine, P
How Corona, P
Iraqi prot, N
The govern, N
Confirming, N
Trump Day , N
Hello neig, N
Former Sup, P
14 ways fi, P
Woodmans a, N
Everyone s, N
Went brave, P
New hours , N
ChickfilA , P
Just got n, P
My approac, N
PANIC home, N
Losing fre, P
TLDR Sign , P
We species, P
Not thrill, N
On one han, P
Im starti, P
Seeing pic, N
Dang folks, P
Just brave, N
My latest , P
Shelves em, P
How suppor, P
Hi everyon, N
Some peopl, N
fuck coron, N
Pam Goes L, N
The one an, P
So persec, N
I walking , P
Do brick m, P
I checked , P
NotOneMore, P
Regina Foo, N
While Baby, P
Just littl, P
Human pro , N
kinda want, N
StockMarke, P
Corona str, N
Online tra, P
The global, N
I work ret, P
I 35 rolls, P
Shelves em, N
The pandem, N
I go groce, P
Pretty mes, P
plantbased, N
sainsburys, P
THIS Coron, N
Online sho, P
The book i, P
Any compan, P
Husband go, N
This quara, N
If concern, P
JoshCullen, P
If didnt , N
Really don, P
Heres supe, P
Every sing, P
Food shopp, N
If youre , N
I begging , N
I witnesse, N
Anyone inf, N
We Texas P, P
These sugg, P
COVID19 is, N
We always , P
Stock make, P
Crowes Gal, P
Call Deman, P
Here ways , P
ANI It wou, P
Covid19 Xm, N
Live Lindl, P
extract we, N
Im worrie, N
BEING NEIG, P
People If , N
With news , P
OKIve enou, N
Lets ask , P
While Trum, N
When stock, N
When go pu, P
Whats diff, P
The price , P
Pharmacies, P
After care, P
George wen, N
Rest assu, N
FiestaRox , P
My nephew , P
BoCs Poloz, P
To lady pr, N
More 44 mi, N
Can someon, N
Hey fun fa, N
Call healt, N
Supermarke, N
DeaceProdu, N
Where coro, P
As think s, P
If booked , N
Social dis, P
As retail , P
HyVee plan, N
So let get, N
I went Gro, N
Covid19 co, N
Panic buyi, N
Apparently, N
ThankfulTh, P
supermarke, N
If suspect, N
Just stopp, N
I wore mas, N
19 Malaysi, P
Youve empt, N
Floridas , P
Coronaviru, P
Go ahead s, P
Just inter, N
jelani9 It, N
As I appea, P
kroger Wal, P
4 Russia L, N
Protect Co, P
yvonne4tn , N
damianekf , P
THINGS TO , P
My German , N
As someone, P
Its pride , P
Thanks gre, P
In case he, P
Absolutely, P
Zimbabwean, P
TUIUK Firs, P
We dont en, P
Johnson4Da, P
Things I t, N
Imagine pr, N
A friendly, P
Do see imp, P
youre acco, P
All younge, N
Savages Th, N
Coronaviru, P
These info, N
TullowOilp, N
COVID 19 p, N
Have say C, N
YesTheory , N
COVID19 cr, N
Easyjet em, P
Help keep , P
Class susp, N
safe onlin, P
Working ha, P
Consumer h, P
Important , P
2 Make sur, P
No lull gr, N
COVID19 Sc, P
Hi Please , P
All crazie, N
Hey price , N
Garlic pri, P
Went 2 gro, N
Yesterday , P
At Dominio, N
How Manage, N
Damn The g, N
roncaruthe, P
Enjoy best, P
Public pan, N
Rich getti, P
Heres tho, N
Hey Tesco , P
While you, P
lets hope , P
I instruct, P
Setting ol, P
0 chance P, P
The German, N
PSA Be kin, P
Has initia, P
Pretty anx, P
2 I couldn, P
RicePoliti, N
We may not, P
Third Stre, P
Anxiety co, P
IAG Europe, P
Coronaviru, N
Waking hea, P
The fight , N
kinda glad, N
Panic buyi, N
Corona vir, N
spreads qu, P
Lucky supe, P
After visi, P
Anybody wh, P
Sephora fr, P
I may naiv, P
The scary , N
What wrong, N
Tesco Is t, P
Since peop, P
realDonald, N
reserving , N
To people , P
OUR ONLINE, P
At Big Roc, P
At local T, N
Well its , P
With Coron, P
UBID 0095 , N
Telangana , N
12h00 noon, N
Please awa, P
relianceji, P
Pro tip al, P
Before go , P
So started, N
New Jersey, P
To animal , P
The people, N
Omo na wa , P
Hey buying, P
EmmaLDargi, P
Global sto, N
After loca, P
Please ple, P
The top fo, P
Please not, P
If superma, P
httpstcoa3, N
The grocer, N
Just got b, N
Airlines P, N
Stay Safe , P
In Russia , N
Coronaviru, N
GovWhitmer, N
Just like , P
Yo mama na, N
While peop, N
Dont panic, N
coronaviru, N
MandalaySa, N
Before get, P
This advic, N
Doing onli, P
Its heart, P
Like many , P
Coronaviru, P
queenafua , P
Some helpf, P
GOPLeader , N
Hoarding c, N
AngelaDuha, P
About camp, P
Hygiene ti, P
It expensi, N
theres not, N
GovPritzke, N
I really e, N
People flo, P
Govt under, N
When stock, N
sidhakuro , P
Reality ch, P
Venezuela , N
So happy s, P
Covid19 We, P
Stock cann, N
Amazon hir, P
As Family , P
Ive never, P
This start, N
sainsburys, N
Going groc, P
Almost eve, N
Went Costc, N
How surviv, N
Why I feel, N
29 We live, N
Are stores, P
Just want , P
I saw play, P
Important , N
Just went , N
On differe, P
Yall need, P
In panic p, N
Zombie Apo, N
If youre , N
Crude Oil , N
gtconway3d, N
Lowering i, N
So college, P
Gym dirty , N
Covid19 fl, P
Stock Food, N
Ive Costco, N
Football s, N
It sucks p, P
Well done , N
When remem, P
Night one , P
Dont take, P
iamshafaat, N
DavieC726 , P
We used la, P
20YS Lysol, N
Working gr, P
Dont go s, N
Grocery st, N
Consumer N, N
get little, N
prediction, N
This Covid, N
environmen, P
TexasTribu, N
Things get, N
Apparently, N
We still b, P
These diff, P
Avoid pani, N
At store t, N
Rewe Mitar, P
Victori219, N
Airlines P, N
MUST READ , P
Big thanks, N
Saw mother, N
For forese, P
Its really, N
Striking m, P
Thanks fac, P
Went Costc, P
TheLastLeg, P
Covid19 wa, N
I never se, N
Thank good, P
For everyo, P
My story a, P
Headed gro, P
RepDougCol, P
Whats toi, N
Just stopp, N
The thing , N
The Govern, N
Empty shel, N
What wrong, N
La Habra s, N
The Corona, N
Local food, P
Heres lis, P
In case wo, N
Shelf isol, N
With curre, N
CoronaCraz, P
Preparing , N
CBCTerry C, P
Our food s, P
Walmart ad, P
I enlighte, N
Hey cvspha, N
This Ameri, P
On panic b, N
Dont worr, P
Greed prep, P
The grocer, P
I Grocery , P
So I liter, N
Canadians , N
14 Day Eme, N
Went groce, N
My uncle H, N
Ive broke, P
Every cris, N
THIS JUST , P
Who else w, N
The superm, P
One way lo, P
Life time , N
Solid advi, P
jeffwellz , P
In light c, N
Tesco Asda, P
TheLastLeg, N
Its good , P
Are plans , P
Most frust, P
Jamaica so, N
Hopefully , P
Restaurant, P
Im going s, N
BillyPTSD , N
Getting ba, P
South Bay , N
SassyCsays, N
Starting t, N
I think ne, P
CDC Older , P
The situat, N
Yesterday , N
The many p, N
HI TWITTER, N
Covid19 Co, N
Best part , P
Seattle Co, N
ksaputooo , P
The basics, N
Remember n, P
1 A wellst, P
After Covi, N
Hi AEWrest, N
As going p, P
Italy lock, P
So mania m, N
kslclassif, P
Hey ladies, P
Dont unde, P
Wow there, N
The fact a, N
I think sa, P
amp8216We , N
Such good , P
online sho, P
TOMORROW S, P
CPNumenor , N
C4News Sup, P
WhatsYourP, N
Citigroup , N
If afford , P
Citizens e, N
micheleneg, P
Also fact , N
The potato, P
So We went, P
DTFDont T, N
The Corona, N
I work Hom, P
Find prote, P
13 How enc, P
Found stan, N
Due ongoin, P
If havent , N
I returned, N
I feel bad, N
GUYS PLEAS, P
As expecte, N
Amid panic, N
You know e, P
sneezed li, P
3h Norway , P
As people , N
Local auth, P
When usual, N
More Groce, N
Want suppo, P
Corona eve, N
Report ins, N
Was till c, P
So finally, P
Retail Sto, P
If youre , N
The openin, N
I think Co, N
So preside, N
COVID19 mi, P
Fourth sup, N
RealJamesW, P
STILL NEED, N
Ive stockp, N
Covid19 pa, N
Lots panic, N
We uploade, P
Supplies N, N
President , N
GAS PRICES, N
Ive read , P
The beginn, N
Data doesn, P
I cant bel, P
dudleymbc , P
CancelEver, P
My wife ca, P
Indig comm, N
EPRAKe thi, N
Everyone C, N
After best, P
First time, P
I Italian , P
Selfish wa, N
Increasing, P
In wake sh, N
Please adv, P
Osu cemete, P
GovLauraKe, P
people tru, P
I went gro, N
You ration, N
COVID 19 V, P
Dont let , P
based repo, P
Just telly, N
An Indian , N
Me selling, P
After goin, P
Schools ho, P
Now best t, P
People ann, P
UPDATE As , P
Most Ameri, P
This Wuhan, N
Call repre, N
Watching B, N
If pubs cl, P
finding ha, P
As protect, P
With COVID, P
Last week , N
Your custo, P
Please rem, N
Coronaviru, P
Hey guysss, P
ok heres , P
Dog food a, P
Unbelievab, P
This sad u, N
What POTUS, N
Some Coron, N
Links info, N
You would , N
No mention, N
Canadas oi, N
US consume, N
I went gro, N
Sri Lankan, N
Thread peo, N
Its not C, N
Even thoug, P
realDonald, N
Great emai, P
Grocery st, N
Price goug, N
Have trip , P
FlippinKat, P
BBCWorld P, N
Just want , P
Im fit we, N
Dryfood 6 , P
Everyone p, P
The I see , N
With pande, P
Let tell c, N
live heavi, P
If youre n, P
Coronaviru, P
LabGrown M, N
The line g, N
If go loca, P
Trevor RD , P
Times turm, P
I survived, N
Call repre, N
Police sup, N
Our SF sto, P
Help keep , P
Seriously , P
A message , P
1a My mom , N
The last t, N
Shout Publ, P
With said , N
coronaviru, N
silverado1, N
Im not re, P
3 Open Q C, N
rte rtenew, P
I cashier , N
Covid19 no, N
Of credit , P
Could ever, P
Covid19 Co, P
About walk, P
You know w, P
The Corona, N
Mass fear, N
snowden He, P
After visi, P
Trudeau No, N
Happy repo, N
Since outb, P
With Gov H, N
FYI We ant, P
Perfect ti, P
In times l, P
Youd thin, N
Anyone els, N
CNBC Lower, N
Private co, N
Lots empty, N
Walmart CE, P
One BEAUTI, P
In light p, P
The local , N
Dont chas, P
Been one e, N
Went groce, P
Great see , N
Imagine pa, N
PSA Despit, P
This could, N
An incredi, P
Theres mas, P
Capitalist, N
With pubs , N
Me getting, P
Every plac, P
Everyone t, P
Things loc, P
LaurasView, P
Right even, P
To people , N
My 78 year, N
For stockp, P
Wow time c, P
Here would, N
How far I , N
Wow even e, P
Just read , P
Some thoug, N
Well done , N
My superma, P
5 stages C, N
Covid19 pa, N
2 Apparent, N
My region , N
Security g, N
Coronaviru, N
Worried co, P
Lower Oil , N
CMOMaharas, P
Coronaviru, P
A small ra, N
1 preprint, P
Oil prices, N
Two differ, N
MY GROCERY, P
The thing , N
Stock pric, P
There meat, N
coronaviru, N
This dange, N
Remember n, P
In continu, P
The Taste , N
government, P
CORONAVIRU, N
If wander , P
Whats happ, P
httpstco1K, N
When I wen, N
It saddens, N
Just dont, P
Me are go, P
This good , N
Shoutout g, P
MassGovern, N
Please ple, P
This thing, P
COVID19 ge, P
Great idea, P
Commodity , N
While prai, P
For toilet, N
My inbox f, N
BreakingNe, N
dylanistwe, N
At first I, N
Thats goo, P
In order l, P
If necessa, P
All online, N
Walking gr, P
Everyone l, P
Bet elderl, N
Anyone rec, N
I havent , N
This groce, N
People pan, P
Tis truth , P
My sister , N
I dont ge, P
COVID19 co, N
Please als, N
COVID19uk , P
Jesus Chri, N
Please ppl, N
Donated Mc, P
Seagulls l, P
Take care , P
Tips stayi, P
In serious, P
As push fo, N
Yesterday , P
Looking al, P
Yesterday , P
Media orga, N
This clip , N
At grocery, N
Panic buyi, N
Coronaviru, P
When ur li, N
In current, N
While othe, P
Keys world, P
Im pioneer, P
BE NICE TO, P
Fuel lowes, N
Michigan r, N
Most brand, P
Me grocery, P
In MidOhio, N
Grocery st, P
Europe tra, N
Coronaviru, N
NorthmanTr, N
I heard so, P
Weve stuck, P
My bum bum, N
Fellow Uni, N
More groce, P
Dear Every, P
Noticing l, N
In NOSurpr, N
lushcosmet, P
While may , P
Imagine wh, P
Me Im pre, N
Tips Self , P
If youre , N
To dickhea, P
Is online , P
Voltas 15 , P
iamlaura00, P
IFightCanc, P
Or give in, P
Stefaniya , N
I concerne, P
No ground , N
Thank peop, N
If think y, N
This world, P
SadhguruJV, P
Tips germo, P
When state, N
One not li, N
If big sup, P
Could surv, N
ElbaKroop , P
Coronavir, P
Voting age, P
All years , P
Crowds wet, P
Five times, N
News organ, N
Shopping c, N
Half groce, N
Alright y, P
Dont pan, N
Whats craz, N
Pity mille, N
Me online , P
Scenes gro, N
One elderl, N
PSA Stop p, N
Ive never, N
Shoppers s, N
My partner, N
Demand ca, N
How ICT he, P
About walk, P
Good morni, P
Just went , N
Due Corona, P
Missouri A, P
Wala nakit, N
The NY Fed, N
Virus atta, N
BREAKING T, N
Just going, N
The Ontari, N
I believe , N
Reminder S, N
The Corona, P
The worker, P
Supermarke, P
Let clear , P
Went groce, P
Reuters Th, N
Check peop, N
This makes, N
FionaKingh, P
Just think, N
Quick rant, N
And think , N
As many pr, N
PUBLIC SER, P
Should gro, P
Our latest, N
Wakeup cal, P
Important , P
Food aint , N
GorwayGlob, N
Im going t, P
swissepi F, P
People gro, P
Wrong atti, N
I work foo, N
The local , N
Hunkering , P
Have talki, N
Fam youre, N
GovMikeDeW, N
These scen, N
How u soci, P
realDonald, N
The person, N
If forgot , N
And Ontari, P
Only buy f, P
theres spe, N
Ive never , N
We many p, P
If retail , N
No witch h, P
Dont walk , P
Milan Queu, N
Im getting, P
Let guess , N
My genuine, N
Coronaviru, P
Charging e, P
Skills hig, N
Remarkable, P
COVID19 Qu, P
When someo, N
Legit Ever, P
As America, P
Hey bee sm, P
Collectivi, P
I woke 5 c, P
Americans , N
Ok shit ge, P
Got give l, P
Informatio, P
Why toilet, N
coronaviru, P
Well easil, N
Empty shel, N
Britain fo, N
Just thoug, P
My neighbo, P
Good see p, P
Food flyin, N
Every stor, N
The way Se, P
Just made , N
Let check , N
Wow really, P
Belgium I , N
online sho, P
One thing , N
Long lines, N
Possible C, N
Learn righ, N
No toilet , N
You never , N
panic buyi, N
like canna, P
Coronaviru, P
There ways, N
PANIC BUYI, N
Our retail, P
Traders ma, N
Damn No pa, N
NEW VLOG M, P
Following , P
If I dont , N
Were look , P
Listening , N
Trumps cor, N
In light C, P
DazzyJinzo, N
grocery st, N
Lineups sm, P
I dont kn, N
Apparently, P
0Calamity , N
coronaviru, P
Raymartin5, P
Just BampQ, N
Nothing de, N
Worlds Dea, P
Attention , P
He using c, N
I went sho, N
Interestin, P
Hey everyo, N
Amazon blo, N
Son inlaw , N
We still o, P
I big box , P
If shoppin, N
Ridiculous, N
We tempora, P
List store, P
QuickTake , N
There´s pa, P
FAKE coron, N
Covid19 In, P
Wan na kno, N
I hope Cov, N
Or buy gif, P
GovernorLi, P
HEB prepar, P
coronaviru, N
Bless empl, P
Theresa Ma, P
BakerRepor, P
Seeing res, N
Sitting co, P
I would li, P
Popped sup, P
Did panic , N
Need way h, P
Stay safe , P
Supermarke, N
COVID19 ca, P
WIth coron, N
US consume, N
March 14th, N
onespeedji, P
Headline r, P
httpstcoVr, N
Safeway em, N
Instead he, P
Folks pani, N
Went super, N
No beans t, N
How everyb, N
SPY GO OUT, P
Upper mana, P
Covid19 Th, N
Another re, P
I understa, P
The Covid1, N
You know I, N
I think Af, P
I understa, P
Im trying, N
Im gon na, N
This not j, P
Ahora segu, P
Hmm think , N
Avoiding O, P
My partner, N
Pls stock , N
Asian Flu , N
The extrao, P
This crazy, N
Wegmans Sh, N
Theres hug, P
police rep, N
I dont kno, N
The econom, P
With news , P
Nothing sa, P
Please unl, P
When there, N
While advi, N
Im scared, P
When Im st, N
Global cri, N
Worried Sm, P
You never , N
NKdarin Mi, N
Why people, N
I went gro, N
Have stock, N
My mum wen, P
Question I, N
I caregive, P
The amount, N
Are unelec, P
keep class, P
It pretty , P
Overheard , P
Logic 6 ye, N
Onsite Ind, P
COVID19 UP, P
JGreenblat, N
If feel ne, P
In respons, P
Craziness , P
MaddowBlog, N
Over last , P
BlackFrida, N
GoogleComm, P
Day 1 coro, P
Shares Tur, P
The person, N
Expert Sol, P
Our Dearse, P
The foodin, P
Covid19 Re, P
coronaviru, P
alwitchste, P
Unusually , N
In Seattle, P
Informal w, N
lazy peopl, P
hey got so, N
James migh, P
The chemic, P
Decided us, P
As optimis, N
5 Guard cy, N
JenniferBM, P
She contin, P
So foreign, N
Lots peopl, N
Do dad Fac, P
coronaviru, P
I ran fami, N
mamafooce , P
Coronaviru, N
At superma, P
Apple clos, N
DaveHarig , N
Retail emp, N
The corona, N
The Presch, P
going supe, P
Stop frenz, N
Heres obl, P
I think nb, N
Overheard , N
Score card, N
Looks like, P
SEEKING Ev, P
All prepar, P
AT TARGET , P
Well deliv, P
Also dont , P
Im not wo, P
The entert, P
First time, N
Coronaviru, P
stubhub of, P
US World F, N
We might d, P
COVID19 Up, P
We stock f, N
offhandman, P
If youre , N
If someone, N
Surviving , P
Im not di, N
CoronaViru, P
Mutual aid, P
Just opini, P
Just saw A, P
deliver on, N
I really w, N
When cough, N
As uncerta, N
Kyle drive, P
united I c, N
cant affor, N
The number, N
During cov, P
Um favorit, P
I think Iv, N
A message , P
Are potent, P
COVID19 ac, P
You know w, P
Everyone t, P
I rang age, P
Forget pan, N
Prices han, P
This utter, N
Ive gotte, P
COVID19 Yo, P
Covid19 If, N
Underneath, P
Coronaviru, N
Yesterday , P
90 year ol, N
Amazon Pri, P
bigeasy115, N
I work gro, N
Stock Food, P
In COVID19, P
Its funny , N
Learn righ, N
There peop, N
CoronaViru, P
PatBloke Y, N
The financ, N
To people , P
Could I be, P
Anyone els, N
To rein pa, N
It not cle, P
csharp5228, N
Back Rome , N
Stores sel, N
lauvagrand, N
ireland pr, P
Everyone a, P
When shake, P
Women coro, N
Its ironic, P
UnkleK Bab, P
Is world c, N
Getting cr, N
This Id l, P
Please lea, P
Tommorow b, N
NO BREAD N, N
Those stru, N
People rea, P
News avoid, N
AnnCoulter, N
When I cou, P
Need medic, P
Overheard , P
I grocery , N
Impacts co, P
Just got b, P
lollyscupc, N
Woolworths, P
IMPORTANT , P
The media , N
On bright , P
Food banks, P
Grocery st, N
ICYMI Appl, P
I dont und, N
Ok COVID20, N
Athens Sto, P
While euro, P
Its munch, P
Oil prices, N
How Chicag, N
2 stages c, P
This 25 pe, N
Panic city, N
ur able PL, N
This Tuesd, N
If needing, P
Ive stock, N
Is effecti, N
If werent , N
COVID19 pa, P
ReduceFood, P
Update In , N
Just went , P
Covid19 is, N
In times w, N
Hey idiots, N
Britain fo, N
FridayThou, P
Mass hyste, N
The shorta, N
Morning It, P
Something , N
This reall, N
4 CPG Reta, P
Meanwhile , N
Ryanair us, P
Check late, P
I wish peo, N
I cant qu, P
Ocado Onli, N
Today crow, P
goverment , N
Food thoug, P
Missing ma, P
Please sto, P
JohnMagdes, N
Didnt thin, N
China anno, P
Working su, P
RichardBar, N
Me dad wan, N
Canada see, P
Im stuck , P
Are empty , N
A lot big , P
Q1 earning, N
Bennydubs , P
I usually , P
First Trad, N
Important , P
Everywhere, N
Covid19 Co, N
My grocery, P
Had elderl, N
You know n, N
xedentheod, N
CDC urges , N
Panic food, N
How fuck I, N
With stock, N
Stock food, P
It complet, N
Does anyon, P
Im totally, P
Regina Foo, N
My mums wo, N
Went groce, P
So go game, P
Collected , N
Will onlin, P
melissagir, P
panickbuyi, N
narendramo, P
piersmorga, N
realDonald, P
My current, P
My SundayM, N
geniebouch, P
People hoa, N
Remember l, P
In KGeorgi, P
Supermarke, P
Overheard , P
Dear HALIF, P
Make sure , P
coronaviru, P
Dont forg, N
sriLankans, N
There lot , N
Coronaviru, P
TheDdot We, P
23 There d, P
Check I fo, P
Hey pals T, N
Keep eye b, P
BritishAir, P
MoHFWINDIA, P
I grocery , P
The hit in, P
HEB prepar, P
A pandemic, P
PSA Corona, P
Jakarta de, N
Now Govern, N
Walking su, P
Be lookout, N
Food secti, P
Amazon del, N
Update In , N
Stock food, P
I think go, P
A grown 40, P
An elderly, N
Anyone com, N
For self i, P
THIS toile, N
Can not pa, N
Pls mindfu, N
Rap Beat S, N
My partner, P
Just thoug, N
Channel9 C, P
And food p, P
As joke I , N
Italy Spai, P
What hallm, P
dunkiec In, N
Hope nobod, P
The econom, N
Its insane, N
I went sup, N
Being An A, N
ANYONE I m, N
Someone el, P
The empty , N
Shame hoar, N
This coron, N
I work lar, N
Most focus, N
COVID19 lo, P
Tennessee , P
Please sto, P
Empty shel, N
Met member, P
The corona, N
The awful , P
What PPC m, P
eugenegu r, N
STAYING HO, P
Boomers WE, P
CDCgov Sam, N
I kinda un, N
One month , P
Out shoppi, N
Call repre, N
What Covid, N
Coming bac, P
Everyone b, P
When I sta, P
I happy re, P
Malaysia C, P
La Habra s, N
LOOK Shopp, N
We working, P
better tim, P
Call Senat, N
BernardKer, N
tjricky be, N
In difficu, N
How stock , N
In Mexico , P
I hope gra, P
The people, P
Its Satur, P
Schools cl, P
Why Republ, N
Please sto, P
In light c, P
covid19 rl, N
JeremyVine, P
Went groce, N
We shoulda, P
Should UK , P
coronapoca, P
Me shoppin, P
bsyediyura, P
COVID19 is, P
James Moor, P
Funny side, P
Stock snac, N
Americans , P
Raise hand, P
NEWS ALERT, P
Thats find, P
I done got, N
Coronaviru, P
Are intere, P
AsdaServic, P
SylvesterT, P
Food Other, P
STOP KILLI, N
Another da, N
Im not pan, N
My husband, N
Almost par, N
sergioaved, N
Having ext, N
People sto, N
City Las P, P
The compan, P
Free onlin, P
Meanwhile , P
informal d, P
ShopprsDru, N
Co ro na c, N
This time , P
Reuters Co, N
PICK UP A , P
Facts 1Sto, N
The corona, N
If anyone , N
neighbor m, P
Ensure sto, N
ok I know , N
Fucking pe, N
Much neede, N
For us who, P
You know I, N
Gas prices, N
If see ad , N
Toilet pap, N
A friend m, P
Food isnt , P
The last t, N
With event, P
We dont ne, P
House pric, N
Between pr, P
Thats wra, P
So I went , N
How Retail, N
Coronaviru, N
Really con, N
dcislamaba, P
Everyone g, P
The line 1, N
bbcnews ma, P
So govt tr, P
Spent firs, N
NewsProJoe, N
We may foo, N
This good , P
If extra u, P
If Canadia, N
This panic, P
Maybe coro, P
Good time , P
Its begun, P
SenatorLoe, N
After work, N
Its 11pm K, P
pwcdanica , N
When herd , N
Listening , N
The one st, N
The chaos , N
phineashea, P
Companies , P
The tensio, N
DEMAND FOR, P
AirSewa fl, P
The insigh, P
I need sta, N
Scenes gro, P
Why toilet, P
Anyone els, P
Keep away , N
SecondSond, P
Remember O, P
BriSmithy , P
PSA timeli, P
I went Sai, N
NileshShah, P
The ultima, N
Being OR n, P
realDonald, P
An Apple r, P
Excellent , P
If thought, P
2 A Market, N
So telling, P
Coronaviru, N
Just stopp, N
Am I worri, N
What effor, P
FFS So top, P
COVID19 sc, N
Stop shopp, N
omg HOT pe, N
Covid 19 m, N
The govern, P
Activities, P
Please ple, P
coronaviru, P
CornellLib, P
Well guess, N
How Costco, P
I see peop, P
Genuinely , N
Whos going, N
COVID19 AL, P
Sellers ca, P
If think 1, P
Museums ci, N
